DeviceVendor,DeviceProduct,DeviceEventClassID,DeviceSeverity,DeviceAction,DeviceHostName,DestinationPort,DestinationIP,SourceIP,Message,EventType,Protocol,SourceUserName,DestinationUserName,DeviceProcessName,StartTime,EndTime,Type
Palo Alto Networks,PA-220,AUTH_FAIL,High,Blocked,Firewall2,443,192.168.1.30,198.51.100.55,Brute-force HTTPS login attempt detected and blocked,HTTPS,TCP,unknown,admin,httpsd,2024-09-18T13:05:12Z,2024-09-18T13:05:15Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,Medium,Detected,Firewall2,21,192.168.1.40,203.0.113.55,FTP brute-force login attempt detected,FTP,TCP,unknown,ftpuser,ftpd,2024-09-18T13:10:43Z,2024-09-18T13:10:45Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,High,Blocked,Firewall2,3389,192.168.1.50,198.51.100.70,Brute-force RDP login attempt detected and blocked,RDP,TCP,unknown,Administrator,rdp,2024-09-18T13:12:58Z,2024-09-18T13:13:00Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,High,Blocked,Firewall2,22,192.168.1.60,198.51.100.90,Brute-force SSH login attempt detected and blocked,SSH,TCP,unknown,root,sshd,2024-09-18T13:15:18Z,2024-09-18T13:15:20Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,High,Blocked,Firewall2,443,192.168.1.30,198.51.100.55,Brute-force HTTPS login attempt detected and blocked,HTTPS,TCP,unknown,admin,httpsd,2024-09-18T13:05:12Z,2024-09-18T13:05:15Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,Medium,Detected,Firewall2,21,192.168.1.40,203.0.113.55,FTP brute-force login attempt detected,FTP,TCP,unknown,ftpuser,ftpd,2024-09-18T13:10:43Z,2024-09-18T13:10:45Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,High,Blocked,Firewall2,3389,192.168.1.50,198.51.100.70,Brute-force RDP login attempt detected and blocked,RDP,TCP,unknown,Administrator,rdp,2024-09-18T13:12:58Z,2024-09-18T13:13:00Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,High,Blocked,Firewall2,22,192.168.1.60,198.51.100.90,Brute-force SSH login attempt detected and blocked,SSH,TCP,unknown,root,sshd,2024-09-18T13:15:18Z,2024-09-18T13:15:20Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,High,Blocked,Firewall2,443,192.168.1.30,198.51.100.55,Brute-force HTTPS login attempt detected and blocked,HTTPS,TCP,unknown,admin,httpsd,2024-09-18T13:05:12Z,2024-09-18T13:05:15Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,Medium,Detected,Firewall2,21,192.168.1.40,203.0.113.55,FTP brute-force login attempt detected,FTP,TCP,unknown,ftpuser,ftpd,2024-09-18T13:10:43Z,2024-09-18T13:10:45Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,High,Blocked,Firewall2,3389,192.168.1.50,198.51.100.70,Brute-force RDP login attempt detected and blocked,RDP,TCP,unknown,Administrator,rdp,2024-09-18T13:12:58Z,2024-09-18T13:13:00Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,High,Blocked,Firewall2,22,192.168.1.60,198.51.100.90,Brute-force SSH login attempt detected and blocked,SSH,TCP,unknown,root,sshd,2024-09-18T13:15:18Z,2024-09-18T13:15:20Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,High,Blocked,Firewall2,443,192.168.1.30,198.51.100.55,Brute-force HTTPS login attempt detected and blocked,HTTPS,TCP,unknown,admin,httpsd,2024-09-18T13:05:12Z,2024-09-18T13:05:15Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,Medium,Detected,Firewall2,21,192.168.1.40,203.0.113.55,FTP brute-force login attempt detected,FTP,TCP,unknown,ftpuser,ftpd,2024-09-18T13:10:43Z,2024-09-18T13:10:45Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,High,Blocked,Firewall2,3389,192.168.1.50,198.51.100.70,Brute-force RDP login attempt detected and blocked,RDP,TCP,unknown,Administrator,rdp,2024-09-18T13:12:58Z,2024-09-18T13:13:00Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,High,Blocked,Firewall2,22,192.168.1.60,198.51.100.90,Brute-force SSH login attempt detected and blocked,SSH,TCP,unknown,root,sshd,2024-09-18T13:15:18Z,2024-09-18T13:15:20Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,High,Blocked,Firewall2,443,192.168.1.30,198.51.100.55,Brute-force HTTPS login attempt detected and blocked,HTTPS,TCP,unknown,admin,httpsd,2024-09-18T13:05:12Z,2024-09-18T13:05:15Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,Medium,Detected,Firewall2,21,192.168.1.40,203.0.113.55,FTP brute-force login attempt detected,FTP,TCP,unknown,ftpuser,ftpd,2024-09-18T13:10:43Z,2024-09-18T13:10:45Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,High,Blocked,Firewall2,3389,192.168.1.50,198.51.100.70,Brute-force RDP login attempt detected and blocked,RDP,TCP,unknown,Administrator,rdp,2024-09-18T13:12:58Z,2024-09-18T13:13:00Z,CommonSecurityLog
Palo Alto Networks,PA-220,AUTH_FAIL,High,Blocked,Firewall2,22,192.168.1.60,198.51.100.90,Brute-force SSH login attempt detected and blocked,SSH,TCP,unknown,root,sshd,2024-09-18T13:15:18Z,2024-09-18T13:15:20Z,CommonSecurityLog
